PG.ProteinAccessions,PG.ProteinNames,GAERS_602_SCx,GAERS_601_SCx,GAERS_625_SCx,GAERS_614_SCx,GAERS_628_SCx,GAERS_590_SCx,NEC_601_SCx,NEC_687_SCx,NEC602_SCx,NEC_603_SCx,NEC_688_SCx,NEC_604_SCx
A0A0G2JZZ3;D3ZD47,A0A0G2JZZ3_RAT,13675.39746,16374.09375,17347.63281,13640.25293,17012.25,21046.64063,15529.47559,22388.74805,19639.64063,24491.51758,19447.90625,12648.01563
A0A0G2JZZ4,A0A0G2JZZ4_RAT,48529.55078,51326.5,48566.14844,61488.83984,52162.76172,46462.48438,49296.83594,48722.63281,71590.49219,51745.06641,49267.99609,58124.28125
A0A0G2JZZ5;D4A244,A0A0G2JZZ5_RAT,7223.092773,5707.999512,9981.845703,9131.980469,10165.77832,12916.09766,12653.88867,9942.500977,13981.67578,11588.26074,7724.987305,9611.739258
A0A0G2K012,A0A0G2K012_RAT,88888.5,101238.3203,103617.3672,101514.5859,103125.6641,109933.4688,107383.4141,107043.6094,112345.9766,133343.9844,117412.2188,105756.0859
A0A0G2K013;Q9QXQ0,A0A0G2K013_RAT,595863.6875,579912,672568,635671.875,590271.25,723274.125,611866.9375,790789.375,697855.4375,617467.4375,558237.5,625462.8125
A0A0G2K014;Q5XI38,A0A0G2K014_RAT,76833.65625,89434.03125,78909.85156,71584.39063,93614.53125,97075.03906,88893.14844,63113.04688,68034.9375,100498.5547,61309.64844,59102.16406
A0A0G2K016;Q5U2W0,A0A0G2K016_RAT,5536.760742,6524.618164,11853.37207,10295.76953,4407.029297,9362.032227,9091.796875,9340.84082,8100.327148,10546.03711,9099.576172,4546.97168
A0A0G2K018;A0A0G2K0S0;Q6RFY2,A0A0G2K018_RAT,8979.873047,6755.765137,8316.837891,14117.21484,8328.458984,3938.183594,10809.87793,2322.238037,17724.83008,4317.327637,5044.130371,8320.50293
A0A0G2K038;Q5U1X1,A0A0G2K038_RAT,60037.97656,61720.57031,72716.98438,58431.63672,46774.12109,71253.07031,69665.52344,55578.16797,63065.49609,87622.07031,77981.79688,58311.03125
A0A0G2K051;F1LUA1,A0A0G2K051_RAT,136880.1406,132028.9844,127436.9219,152253.9688,133098.0938,156987.1406,142407.75,147934.3125,169182.6719,132349.4375,123785.1719,130155.1875
A0A0G2K059;M0RDI5,A0A0G2K059_RAT,133977.2969,132332.8438,128552.7266,132875.9375,131025.8203,146952.6406,132275.5938,143217.6719,145084.6406,118893.4375,119681.4453,137559.3281
A0A0G2K079,A0A0G2K079_RAT,32791.74609,37305.75,29596.03516,28308.53125,35022.09375,50674.9375,25199.07422,29621.95508,29436.93164,52727.05078,24826.40039,24715.12891
A0A0G2K093;O35162,A0A0G2K093_RAT,39933.35156,51433.47656,44933.82813,45682.10156,46241.66016,49851.97656,51480.50391,49191.20703,53932.82813,48515.57422,40128.42969,38927.54297
A0A0G2K0B0;Q5XIM5,A0A0G2K0B0_RAT,124555.6719,147120.2969,125683.5156,128349.7656,120604.3828,120561.4844,126714.0469,138606.4063,189699.5625,119668.5859,117641.1641,118378.3672
A0A0G2K0B4;A0A0G2K8P3,A0A0G2K0B4_RAT,90479.32031,95186.67188,95776.97656,84821.17969,96229.92188,90272.63281,103882.1484,87904.5,103015.8984,97619.875,97196.07031,84457.625
A0A0G2K0B6,A0A0G2K0B6_RAT,1280968.875,1329879.5,1246429,1135281.25,1259744.125,1249197.375,1293300.75,1189787.75,1081675.25,1516168.875,1699799.875,1098515.75
A0A0G2K0D3,LMOD1_RAT,13104.16309,12200.27051,16395.75,16189.00586,15619.62012,22375.28125,16749.93945,16205.02051,24863.68359,25409.23438,16592.64453,17936.68359
A0A0G2K0E5;O88881,A0A0G2K0E5_RAT,8122.212402,5997.335449,7629.027344,18944.17969,16737,6397.572266,14437.77344,15548.28418,16795.36914,4411.674805,12251.95996,4560.807129
A0A0G2K0F3;D3ZMI4,A0A0G2K0F3_RAT,602921.4375,538751.1875,553145.1875,576955.25,663350.75,594123.125,578866.9375,654765.1875,579833.1875,674146.75,861791.1875,901156.3125
A0A0G2K0F9;D3ZAW2,A0A0G2K0F9_RAT,37372.39063,32143.98633,40708.41016,37346.24609,45229.29688,43240.62109,42833.58594,35536.43359,49913.69922,38626.67188,36853.06641,40562.125
